timestamp,symbol,side,qty,close,fill_price,notional,realized_pnl,holding_days,signal
2026-01-20 05:00:00+00:00,EWZ,buy,8.925914,33.61,33.626805,300.14996952477,0.0,0.0,long
2026-01-21 05:00:00+00:00,IWM,buy,1.120343,267.775,267.90888749999993,300.1498467484125,0.0,0.0,long
2026-02-05 05:00:00+00:00,IWM,sell,1.120343,255.98,255.85201,286.64200843943,-13.50783830898242,15.0,exit
2026-02-06 05:00:00+00:00,BAC,buy,5.305978,56.54,56.56827,300.14999611805996,0.0,0.0,long
2026-02-12 05:00:00+00:00,BAC,sell,5.305978,52.51,52.483745,278.47759632761,-21.672399790449994,6.0,exit
2026-02-20 05:00:00+00:00,EEM,buy,4.811547,62.35,62.381175,300.149955427725,0.0,0.0,long
2026-03-03 05:00:00+00:00,EEM,sell,4.811547,58.46,58.43077,281.14239610119,-19.007559326534984,11.0,exit
2026-03-03 05:00:00+00:00,EWZ,sell,8.925914,36.83,36.811585,328.57704191369004,28.427072388920035,42.0,exit
2026-03-31 04:00:00+00:00,EWZ,buy,7.816571,38.38,38.39919,300.14999497749,0.0,0.0,long
2026-04-01 04:00:00+00:00,KRE,buy,4.557192,65.83,65.862915,300.14994933468,0.0,0.0,long
2026-04-01 04:00:00+00:00,BAC,buy,6.088897,49.27,49.294635,300.149955167595,0.0,0.0,long
