timestamp,symbol,side,qty,close,fill_price,notional,realized_pnl,holding_days,signal,walk_forward_fold
2025-10-28 04:00:00+00:00,AMD,buy,1.16288,257.98,258.10899,300.1497822912,0.0,0.0,long,1
2025-10-28 04:00:00+00:00,AAPL,buy,1.1152,269.01,269.144505,300.14995197599995,0.0,0.0,long,1
2025-10-28 04:00:00+00:00,SPY,buy,0.4367,686.97,687.313485,300.1497988995,0.0,0.0,long,1
2025-11-04 05:00:00+00:00,AMD,sell,1.16288,250.235,250.10988250000003,290.8477801616,-9.302002129599975,7.0,exit,1
2025-11-04 05:00:00+00:00,SPY,sell,0.4367,675.31,674.972345,294.7604230615,-5.389375837999998,7.0,exit,1
2025-11-04 05:00:00+00:00,EWZ,buy,9.623095,31.175,31.1905875,300.1499866183125,0.0,0.0,long,1
2025-11-07 05:00:00+00:00,AAPL,sell,1.1152,268.47,268.33576500000004,299.24804512800006,-0.9019068479999368,10.0,exit,1
2025-11-07 05:00:00+00:00,BAC,buy,5.636978,53.22,53.24661,300.14996914458,0.0,0.0,long,1
2025-11-13 05:00:00+00:00,BAC,sell,5.636978,52.9,52.87355,298.0470381319,-2.1029310126799734,6.0,exit,1
2025-11-13 05:00:00+00:00,AAPL,buy,1.098699,273.05,273.186525,300.149761830975,0.0,0.0,long,1
2025-11-17 05:00:00+00:00,AAPL,sell,1.098699,267.5,267.36625000000004,293.75503150875005,-6.39473032222498,4.0,exit,1
2025-11-18 05:00:00+00:00,EWZ,sell,9.623095,32.7,32.68365000000001,314.51786889675003,14.367882278437573,14.0,exit,1
2025-11-21 05:00:00+00:00,KRE,buy,4.87092,61.59,61.620795,300.1499627814,0.0,0.0,long,1
2025-11-21 05:00:00+00:00,AAPL,buy,1.105013,271.49,271.625745,300.149979359685,0.0,0.0,long,1
2025-12-05 05:00:00+00:00,AAPL,sell,1.105013,278.815,278.6755925,307.9401524952025,7.790173135517499,14.0,exit,1
2025-12-05 05:00:00+00:00,IWM,buy,1.19641,250.75,250.875375,300.14980740375,0.0,0.0,long,1
2026-01-29 05:00:00+00:00,EWZ,buy,7.869884,38.12,38.13905999999999,300.14997806903995,0.0,0.0,long,2
2026-01-29 05:00:00+00:00,EEM,buy,4.962779,60.45,60.480225,300.149990545275,0.0,0.0,long,2
2026-01-29 05:00:00+00:00,EFA,buy,2.950142,101.69,101.740845,300.14993994998997,0.0,0.0,long,2
2026-02-04 05:00:00+00:00,EEM,sell,4.962779,58.79,58.760605000000005,291.61589652129504,-8.53409402397996,6.0,exit,2
2026-02-04 05:00:00+00:00,EWZ,sell,7.869884,36.975,36.9565125,290.84346641955,-9.30651164948993,6.0,exit,2
2026-02-04 05:00:00+00:00,KRE,buy,4.145364,72.37,72.406185,300.14999267633993,0.0,0.0,long,2
2026-02-05 05:00:00+00:00,EFA,sell,2.950142,100.305,100.25484750000001,295.766036313345,-4.3839036366449475,7.0,exit,2
2026-02-05 05:00:00+00:00,AAPL,buy,1.087232,275.93,276.067965,300.14992572288,0.0,0.0,long,2
2026-02-05 05:00:00+00:00,BAC,buy,5.463485,54.91,54.93745499999999,300.14996133067496,0.0,0.0,long,2
2026-02-11 05:00:00+00:00,BAC,sell,5.463485,53.83,53.803085,293.95234785122506,-6.197613479449945,6.0,exit,2
2026-02-11 05:00:00+00:00,EFA,buy,2.859321,104.92,104.97246,300.14995929966,0.0,0.0,long,2
2026-02-12 05:00:00+00:00,AAPL,sell,1.087232,261.65,261.519175,284.33201567360004,-15.817910049279996,7.0,exit,2
2026-02-12 05:00:00+00:00,KRE,sell,4.145364,70.7,70.66465000000001,292.9306961826,-7.219296493739936,8.0,exit,2
2026-02-12 05:00:00+00:00,EWZ,buy,7.794232,38.49,38.509245,300.14998967484,0.0,0.0,long,2
2026-02-12 05:00:00+00:00,EEM,buy,4.930561,60.845,60.87542249999999,300.1499840370225,0.0,0.0,long,2
2026-02-17 05:00:00+00:00,EWZ,sell,7.794232,37.755,37.73612250000001,294.12409354542007,-6.025896129419941,5.0,exit,2
2026-02-17 05:00:00+00:00,IWM,buy,1.140597,263.02,263.15151,300.14982285147,0.0,0.0,long,2
2026-02-23 05:00:00+00:00,IWM,sell,1.140597,260.5,260.36975,296.97695574075004,-3.1728671107199578,6.0,exit,2
2026-03-02 05:00:00+00:00,EEM,sell,4.930561,61.48,61.44926,302.97932483486,2.8293407978375513,18.0,exit,2
2026-03-02 05:00:00+00:00,EFA,sell,2.859321,103.26,103.20837000000002,295.10585971677006,-5.044099582889948,19.0,exit,2
2026-03-02 05:00:00+00:00,IWM,buy,1.137268,263.79,263.921895,300.14992568286,0.0,0.0,long,2
2026-03-03 05:00:00+00:00,IWM,sell,1.137268,259.25,259.120375,294.6893106355,-5.46061504735998,1.0,exit,2
