strategy,recommendation,benchmark_valid,benchmark_invalid_reasons,walk_forward_available,evaluation_mode,selection_score,source,sensitivity_stability_score,symbol_concentration,in_sample_start_at,in_sample_end_at,out_of_sample_start_at,out_of_sample_end_at,in_sample_trading_days,in_sample_trades,in_sample_closed_trades,in_sample_gross_exposure,in_sample_gross_exposure_usage,in_sample_total_return,in_sample_annualized_return,in_sample_max_drawdown,in_sample_volatility,in_sample_sharpe_like,in_sample_risk_adjusted_score,in_sample_win_rate,in_sample_avg_holding_days,in_sample_turnover,out_of_sample_trading_days,out_of_sample_trades,out_of_sample_closed_trades,out_of_sample_gross_exposure,out_of_sample_gross_exposure_usage,out_of_sample_total_return,out_of_sample_annualized_return,out_of_sample_max_drawdown,out_of_sample_volatility,out_of_sample_sharpe_like,out_of_sample_risk_adjusted_score,out_of_sample_win_rate,out_of_sample_avg_holding_days,out_of_sample_turnover,combined_start_at,combined_end_at,combined_trading_days,combined_trades,combined_closed_trades,combined_gross_exposure,combined_gross_exposure_usage,combined_total_return,combined_annualized_return,combined_max_drawdown,combined_volatility,combined_sharpe_like,combined_risk_adjusted_score,combined_win_rate,combined_avg_holding_days,combined_turnover,walk_forward_folds,walk_forward_total_return,walk_forward_annualized_return,walk_forward_max_drawdown,walk_forward_volatility,walk_forward_sharpe_like,walk_forward_risk_adjusted_score,walk_forward_win_rate,walk_forward_closed_trades,walk_forward_avg_holding_days,walk_forward_turnover,spy_in_sample_start_at,spy_in_sample_end_at,spy_in_sample_trading_days,spy_in_sample_trades,spy_in_sample_closed_trades,spy_in_sample_gross_exposure,spy_in_sample_gross_exposure_usage,spy_in_sample_total_return,spy_in_sample_annualized_return,spy_in_sample_max_drawdown,spy_in_sample_volatility,spy_in_sample_sharpe_like,spy_in_sample_risk_adjusted_score,spy_in_sample_win_rate,spy_in_sample_avg_holding_days,spy_in_sample_turnover,spy_out_of_sample_start_at,spy_out_of_sample_end_at,spy_out_of_sample_trading_days,spy_out_of_sample_trades,spy_out_of_sample_closed_trades,spy_out_of_sample_gross_exposure,spy_out_of_sample_gross_exposure_usage,spy_out_of_sample_total_return,spy_out_of_sample_annualized_return,spy_out_of_sample_max_drawdown,spy_out_of_sample_volatility,spy_out_of_sample_sharpe_like,spy_out_of_sample_risk_adjusted_score,spy_out_of_sample_win_rate,spy_out_of_sample_avg_holding_days,spy_out_of_sample_turnover,spy_combined_start_at,spy_combined_end_at,spy_combined_trading_days,spy_combined_trades,spy_combined_closed_trades,spy_combined_gross_exposure,spy_combined_gross_exposure_usage,spy_combined_total_return,spy_combined_annualized_return,spy_combined_max_drawdown,spy_combined_volatility,spy_combined_sharpe_like,spy_combined_risk_adjusted_score,spy_combined_win_rate,spy_combined_avg_holding_days,spy_combined_turnover,equal_weight_in_sample_start_at,equal_weight_in_sample_end_at,equal_weight_in_sample_trading_days,equal_weight_in_sample_trades,equal_weight_in_sample_closed_trades,equal_weight_in_sample_gross_exposure,equal_weight_in_sample_gross_exposure_usage,equal_weight_in_sample_total_return,equal_weight_in_sample_annualized_return,equal_weight_in_sample_max_drawdown,equal_weight_in_sample_volatility,equal_weight_in_sample_sharpe_like,equal_weight_in_sample_risk_adjusted_score,equal_weight_in_sample_win_rate,equal_weight_in_sample_avg_holding_days,equal_weight_in_sample_turnover,equal_weight_out_of_sample_start_at,equal_weight_out_of_sample_end_at,equal_weight_out_of_sample_trading_days,equal_weight_out_of_sample_trades,equal_weight_out_of_sample_closed_trades,equal_weight_out_of_sample_gross_exposure,equal_weight_out_of_sample_gross_exposure_usage,equal_weight_out_of_sample_total_return,equal_weight_out_of_sample_annualized_return,equal_weight_out_of_sample_max_drawdown,equal_weight_out_of_sample_volatility,equal_weight_out_of_sample_sharpe_like,equal_weight_out_of_sample_risk_adjusted_score,equal_weight_out_of_sample_win_rate,equal_weight_out_of_sample_avg_holding_days,equal_weight_out_of_sample_turnover,equal_weight_combined_start_at,equal_weight_combined_end_at,equal_weight_combined_trading_days,equal_weight_combined_trades,equal_weight_combined_closed_trades,equal_weight_combined_gross_exposure,equal_weight_combined_gross_exposure_usage,equal_weight_combined_total_return,equal_weight_combined_annualized_return,equal_weight_combined_max_drawdown,equal_weight_combined_volatility,equal_weight_combined_sharpe_like,equal_weight_combined_risk_adjusted_score,equal_weight_combined_win_rate,equal_weight_combined_avg_holding_days,equal_weight_combined_turnover,spy_out_of_sample_risk_adjusted_score_delta,spy_out_of_sample_total_return_delta,spy_out_of_sample_max_drawdown_delta,equal_weight_out_of_sample_risk_adjusted_score_delta,equal_weight_out_of_sample_total_return_delta,equal_weight_out_of_sample_max_drawdown_delta,rank,winner
breakout,pass,True,,True,walk_forward,0.9134029141436272,alpaca,1.2731006156190245,0.28354962229259645,2025-03-18T04:00:00+00:00,2025-12-18T05:00:00+00:00,2025-12-19T05:00:00+00:00,2026-04-21T04:00:00+00:00,192.0,28.0,13.0,523.541927970651,0.00523541927970651,0.0023260517835577144,0.003054051953695458,0.0005335991149263419,0.0015689494995445978,1.9443882020212833,1.9438546029063568,0.6153846153846154,28.076923076923077,0.08606366512689512,83.0,11.0,4.0,359.9083735218072,0.003599083735218072,0.0004489063172319341,0.001363567469445881,0.0006303775560415614,0.0010761818412766606,1.2667203422943472,1.2660899647383057,0.25,18.5,0.03275888710080652,2025-03-18T04:00:00+00:00,2026-04-21T04:00:00+00:00,275.0,43.0,20.0,512.5571475233454,0.005125571475233454,0.002811949928483992,0.002576465965193231,0.0006644041913045351,0.0014595387932762808,1.7637288761339658,1.7630644719426614,0.6,29.0,0.1311699128712429,2.0,0.0001133511877439708,0.0004537663248656565,0.00042691698039704074,0.000848714298540157,0.9138298311240243,0.9134029141436272,0.5,6.0,17.25,0.020966380528855286,2025-03-18T04:00:00+00:00,2025-12-18T05:00:00+00:00,192.0,1.0,0.0,111316.08655571798,1.1131608655571799,0.20608108108108114,0.27881188213013264,0.13695570945681723,0.1937510518627136,1.3659289215171901,1.228973212060373,0.0,0.0,0.0,2025-12-19T05:00:00+00:00,2026-04-21T04:00:00+00:00,83.0,1.0,0.0,100092.16021199948,1.0009216021199947,0.0392640921648153,0.12404142754182224,0.09131166161057025,0.13833453090107206,0.9145385845984016,0.8232269229878314,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2026-04-21T04:00:00+00:00,275.0,1.0,0.0,114369.83397405563,1.1436983397405562,0.2608571632318335,0.23664931458854044,0.13695570945681723,0.1789509928761511,1.2762295813415176,1.1392738718847004,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2025-12-18T05:00:00+00:00,192.0,1.0,0.0,116888.158986506,1.16888158986506,0.2670560888677862,0.3643303502055695,0.16694087688700676,0.2286357424915671,1.4730773639105585,1.3061364870235517,0.0,0.0,0.0,2025-12-19T05:00:00+00:00,2026-04-21T04:00:00+00:00,83.0,1.0,0.0,99581.88480712015,0.9958188480712015,0.06591506513178769,0.2138634164038986,0.11284629246587774,0.181674692979949,1.1579064358349207,1.045060143369043,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2026-04-21T04:00:00+00:00,275.0,1.0,0.0,120349.70871093102,1.2034970871093102,0.38829657977951015,0.35072070186706283,0.16694087688700676,0.21947986049579782,1.4796904443742387,1.312749567487232,0.0,0.0,0.0,0.4428630417504743,-0.03881518584758337,0.09068128405452869,0.22102982136926275,-0.06546615881455575,0.11221591490983618,1,True
mean_reversion,fail,False,"too_few_closed_trades,insufficient_advantage_vs_spy,insufficient_advantage_vs_equal_weight",True,walk_forward,-999.0,alpaca,0.0,0.0,2025-03-18T04:00:00+00:00,2025-12-18T05:00:00+00:00,2025-12-19T05:00:00+00:00,2026-04-21T04:00:00+00:00,192.0,10.0,4.0,123.56564811750002,0.0012356564811750001,0.0004702639269731357,0.0006172667519157571,0.0002743637146404021,0.0005775035562781149,1.0688139208784528,1.0685395571638123,1.0,24.75,0.030615423084057153,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2026-04-21T04:00:00+00:00,275.0,22.0,11.0,215.3692900834909,0.0021536929008349093,0.0013236228078019607,0.001212852704477907,0.0004507888721059228,0.0009125958758069181,1.3286681878373763,1.3282173989652704,1.0,26.363636363636363,0.0673566077449745,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2025-12-18T05:00:00+00:00,192.0,1.0,0.0,111316.08655571798,1.1131608655571799,0.20608108108108114,0.27881188213013264,0.13695570945681723,0.1937510518627136,1.3659289215171901,1.228973212060373,0.0,0.0,0.0,2025-12-19T05:00:00+00:00,2026-04-21T04:00:00+00:00,83.0,1.0,0.0,100092.16021199948,1.0009216021199947,0.0392640921648153,0.12404142754182224,0.09131166161057025,0.13833453090107206,0.9145385845984016,0.8232269229878314,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2026-04-21T04:00:00+00:00,275.0,1.0,0.0,114369.83397405563,1.1436983397405562,0.2608571632318335,0.23664931458854044,0.13695570945681723,0.1789509928761511,1.2762295813415176,1.1392738718847004,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2025-12-18T05:00:00+00:00,192.0,1.0,0.0,116888.158986506,1.16888158986506,0.2670560888677862,0.3643303502055695,0.16694087688700676,0.2286357424915671,1.4730773639105585,1.3061364870235517,0.0,0.0,0.0,2025-12-19T05:00:00+00:00,2026-04-21T04:00:00+00:00,83.0,1.0,0.0,99581.88480712015,0.9958188480712015,0.06591506513178769,0.2138634164038986,0.11284629246587774,0.181674692979949,1.1579064358349207,1.045060143369043,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2026-04-21T04:00:00+00:00,275.0,1.0,0.0,120349.70871093102,1.2034970871093102,0.38829657977951015,0.35072070186706283,0.16694087688700676,0.21947986049579782,1.4796904443742387,1.312749567487232,0.0,0.0,0.0,-0.8232269229878314,-0.0392640921648153,0.09131166161057025,-1.045060143369043,-0.06591506513178769,0.11284629246587774,2,False
trend_trailing_stop,fail,False,"too_few_closed_trades,insufficient_advantage_vs_spy,insufficient_advantage_vs_equal_weight",True,walk_forward,-999.0,alpaca,0.0,0.0,2025-03-18T04:00:00+00:00,2025-12-18T05:00:00+00:00,2025-12-19T05:00:00+00:00,2026-04-21T04:00:00+00:00,192.0,17.0,8.0,310.6362658248177,0.003106362658248177,0.0001780899320975582,0.00023374953987542746,0.0006660194460346158,0.0007671034121915931,0.3050652145416065,0.3043991950955719,0.625,33.75,0.051205078658115,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2026-04-21T04:00:00+00:00,275.0,36.0,17.0,325.421080731,0.00325421080731,-0.00020582446389150189,-0.0001886116777103375,0.001125559608244675,0.0007613010506096612,-0.2473917466497469,-0.24851730625799157,0.35294117647058826,23.0,0.1077482120219027,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2025-12-18T05:00:00+00:00,192.0,1.0,0.0,111316.08655571798,1.1131608655571799,0.20608108108108114,0.27881188213013264,0.13695570945681723,0.1937510518627136,1.3659289215171901,1.228973212060373,0.0,0.0,0.0,2025-12-19T05:00:00+00:00,2026-04-21T04:00:00+00:00,83.0,1.0,0.0,100092.16021199948,1.0009216021199947,0.0392640921648153,0.12404142754182224,0.09131166161057025,0.13833453090107206,0.9145385845984016,0.8232269229878314,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2026-04-21T04:00:00+00:00,275.0,1.0,0.0,114369.83397405563,1.1436983397405562,0.2608571632318335,0.23664931458854044,0.13695570945681723,0.1789509928761511,1.2762295813415176,1.1392738718847004,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2025-12-18T05:00:00+00:00,192.0,1.0,0.0,116888.158986506,1.16888158986506,0.2670560888677862,0.3643303502055695,0.16694087688700676,0.2286357424915671,1.4730773639105585,1.3061364870235517,0.0,0.0,0.0,2025-12-19T05:00:00+00:00,2026-04-21T04:00:00+00:00,83.0,1.0,0.0,99581.88480712015,0.9958188480712015,0.06591506513178769,0.2138634164038986,0.11284629246587774,0.181674692979949,1.1579064358349207,1.045060143369043,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2026-04-21T04:00:00+00:00,275.0,1.0,0.0,120349.70871093102,1.2034970871093102,0.38829657977951015,0.35072070186706283,0.16694087688700676,0.21947986049579782,1.4796904443742387,1.312749567487232,0.0,0.0,0.0,-0.8232269229878314,-0.0392640921648153,0.09131166161057025,-1.045060143369043,-0.06591506513178769,0.11284629246587774,3,False
momentum,fail,False,insufficient_advantage_vs_equal_weight,True,walk_forward,-999.0,alpaca,0.4100771322533152,0.2625162447425417,2025-03-18T04:00:00+00:00,2025-12-18T05:00:00+00:00,2025-12-19T05:00:00+00:00,2026-04-21T04:00:00+00:00,192.0,74.0,36.0,534.9113614811979,0.005349113614811979,0.001667624368176579,0.0021893270817558985,0.00048690096990589016,0.0011425995953428917,1.9145781640424082,1.9140912630725024,0.5,12.305555555555555,0.2234996391058262,83.0,19.0,8.0,309.1128425964458,0.0030911284259644576,0.0002822351786646582,0.0008571530515286696,0.00042995087408548294,0.0008245753147409395,1.0394772829485601,1.0390473320744746,0.125,7.625,0.05660421420966337,2025-03-18T04:00:00+00:00,2026-04-21T04:00:00+00:00,275.0,111.0,54.0,542.2135661518364,0.005422135661518364,0.0022549126076951698,0.002066125228969762,0.0007387754568612959,0.0011519983680930719,1.792247080495598,1.7915083050387368,0.46296296296296297,11.851851851851851,0.3347147848813422,2.0,-0.0002075926533842698,-0.0008287546620017738,0.00044974943363290665,0.0008032814525208822,-0.7989704704287202,-0.799420219862353,0.18831168831168832,18.0,8.474025974025974,0.056677154064820365,2025-03-18T04:00:00+00:00,2025-12-18T05:00:00+00:00,192.0,1.0,0.0,111316.08655571798,1.1131608655571799,0.20608108108108114,0.27881188213013264,0.13695570945681723,0.1937510518627136,1.3659289215171901,1.228973212060373,0.0,0.0,0.0,2025-12-19T05:00:00+00:00,2026-04-21T04:00:00+00:00,83.0,1.0,0.0,100092.16021199948,1.0009216021199947,0.0392640921648153,0.12404142754182224,0.09131166161057025,0.13833453090107206,0.9145385845984016,0.8232269229878314,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2026-04-21T04:00:00+00:00,275.0,1.0,0.0,114369.83397405563,1.1436983397405562,0.2608571632318335,0.23664931458854044,0.13695570945681723,0.1789509928761511,1.2762295813415176,1.1392738718847004,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2025-12-18T05:00:00+00:00,192.0,1.0,0.0,116888.158986506,1.16888158986506,0.2670560888677862,0.3643303502055695,0.16694087688700676,0.2286357424915671,1.4730773639105585,1.3061364870235517,0.0,0.0,0.0,2025-12-19T05:00:00+00:00,2026-04-21T04:00:00+00:00,83.0,1.0,0.0,99581.88480712015,0.9958188480712015,0.06591506513178769,0.2138634164038986,0.11284629246587774,0.181674692979949,1.1579064358349207,1.045060143369043,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2026-04-21T04:00:00+00:00,275.0,1.0,0.0,120349.70871093102,1.2034970871093102,0.38829657977951015,0.35072070186706283,0.16694087688700676,0.21947986049579782,1.4796904443742387,1.312749567487232,0.0,0.0,0.0,0.21582040908664324,-0.03898185698615064,0.09088171073648477,-0.006012811294568321,-0.06563282995312303,0.11241634159179226,4,False
