strategy,recommendation,benchmark_valid,benchmark_invalid_reasons,walk_forward_available,evaluation_mode,selection_score,source,sensitivity_stability_score,symbol_concentration,in_sample_start_at,in_sample_end_at,out_of_sample_start_at,out_of_sample_end_at,in_sample_trading_days,in_sample_trades,in_sample_closed_trades,in_sample_gross_exposure,in_sample_gross_exposure_usage,in_sample_total_return,in_sample_annualized_return,in_sample_max_drawdown,in_sample_volatility,in_sample_sharpe_like,in_sample_risk_adjusted_score,in_sample_win_rate,in_sample_avg_holding_days,in_sample_turnover,out_of_sample_trading_days,out_of_sample_trades,out_of_sample_closed_trades,out_of_sample_gross_exposure,out_of_sample_gross_exposure_usage,out_of_sample_total_return,out_of_sample_annualized_return,out_of_sample_max_drawdown,out_of_sample_volatility,out_of_sample_sharpe_like,out_of_sample_risk_adjusted_score,out_of_sample_win_rate,out_of_sample_avg_holding_days,out_of_sample_turnover,combined_start_at,combined_end_at,combined_trading_days,combined_trades,combined_closed_trades,combined_gross_exposure,combined_gross_exposure_usage,combined_total_return,combined_annualized_return,combined_max_drawdown,combined_volatility,combined_sharpe_like,combined_risk_adjusted_score,combined_win_rate,combined_avg_holding_days,combined_turnover,walk_forward_folds,walk_forward_total_return,walk_forward_annualized_return,walk_forward_max_drawdown,walk_forward_volatility,walk_forward_sharpe_like,walk_forward_risk_adjusted_score,walk_forward_win_rate,walk_forward_closed_trades,walk_forward_avg_holding_days,walk_forward_turnover,spy_in_sample_start_at,spy_in_sample_end_at,spy_in_sample_trading_days,spy_in_sample_trades,spy_in_sample_closed_trades,spy_in_sample_gross_exposure,spy_in_sample_gross_exposure_usage,spy_in_sample_total_return,spy_in_sample_annualized_return,spy_in_sample_max_drawdown,spy_in_sample_volatility,spy_in_sample_sharpe_like,spy_in_sample_risk_adjusted_score,spy_in_sample_win_rate,spy_in_sample_avg_holding_days,spy_in_sample_turnover,spy_out_of_sample_start_at,spy_out_of_sample_end_at,spy_out_of_sample_trading_days,spy_out_of_sample_trades,spy_out_of_sample_closed_trades,spy_out_of_sample_gross_exposure,spy_out_of_sample_gross_exposure_usage,spy_out_of_sample_total_return,spy_out_of_sample_annualized_return,spy_out_of_sample_max_drawdown,spy_out_of_sample_volatility,spy_out_of_sample_sharpe_like,spy_out_of_sample_risk_adjusted_score,spy_out_of_sample_win_rate,spy_out_of_sample_avg_holding_days,spy_out_of_sample_turnover,spy_combined_start_at,spy_combined_end_at,spy_combined_trading_days,spy_combined_trades,spy_combined_closed_trades,spy_combined_gross_exposure,spy_combined_gross_exposure_usage,spy_combined_total_return,spy_combined_annualized_return,spy_combined_max_drawdown,spy_combined_volatility,spy_combined_sharpe_like,spy_combined_risk_adjusted_score,spy_combined_win_rate,spy_combined_avg_holding_days,spy_combined_turnover,equal_weight_in_sample_start_at,equal_weight_in_sample_end_at,equal_weight_in_sample_trading_days,equal_weight_in_sample_trades,equal_weight_in_sample_closed_trades,equal_weight_in_sample_gross_exposure,equal_weight_in_sample_gross_exposure_usage,equal_weight_in_sample_total_return,equal_weight_in_sample_annualized_return,equal_weight_in_sample_max_drawdown,equal_weight_in_sample_volatility,equal_weight_in_sample_sharpe_like,equal_weight_in_sample_risk_adjusted_score,equal_weight_in_sample_win_rate,equal_weight_in_sample_avg_holding_days,equal_weight_in_sample_turnover,equal_weight_out_of_sample_start_at,equal_weight_out_of_sample_end_at,equal_weight_out_of_sample_trading_days,equal_weight_out_of_sample_trades,equal_weight_out_of_sample_closed_trades,equal_weight_out_of_sample_gross_exposure,equal_weight_out_of_sample_gross_exposure_usage,equal_weight_out_of_sample_total_return,equal_weight_out_of_sample_annualized_return,equal_weight_out_of_sample_max_drawdown,equal_weight_out_of_sample_volatility,equal_weight_out_of_sample_sharpe_like,equal_weight_out_of_sample_risk_adjusted_score,equal_weight_out_of_sample_win_rate,equal_weight_out_of_sample_avg_holding_days,equal_weight_out_of_sample_turnover,equal_weight_combined_start_at,equal_weight_combined_end_at,equal_weight_combined_trading_days,equal_weight_combined_trades,equal_weight_combined_closed_trades,equal_weight_combined_gross_exposure,equal_weight_combined_gross_exposure_usage,equal_weight_combined_total_return,equal_weight_combined_annualized_return,equal_weight_combined_max_drawdown,equal_weight_combined_volatility,equal_weight_combined_sharpe_like,equal_weight_combined_risk_adjusted_score,equal_weight_combined_win_rate,equal_weight_combined_avg_holding_days,equal_weight_combined_turnover,spy_out_of_sample_risk_adjusted_score_delta,spy_out_of_sample_total_return_delta,spy_out_of_sample_max_drawdown_delta,equal_weight_out_of_sample_risk_adjusted_score_delta,equal_weight_out_of_sample_total_return_delta,equal_weight_out_of_sample_max_drawdown_delta,rank,winner
mean_reversion,fail,False,"too_few_closed_trades,insufficient_advantage_vs_spy,insufficient_advantage_vs_equal_weight",True,walk_forward,-999.0,alpaca,0.0,0.0,2025-03-18T04:00:00+00:00,2025-12-18T05:00:00+00:00,2025-12-19T05:00:00+00:00,2026-04-21T04:00:00+00:00,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2026-04-21T04:00:00+00:00,275.0,12.0,6.0,1654.0393636363635,0.016540393636363636,0.016471087749999835,0.015083170923158695,0.0064662112615160305,0.01097059322164001,1.3701215268683715,1.3636553156068554,1.0,22.333333333333332,0.60841611235,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2025-12-18T05:00:00+00:00,192.0,1.0,0.0,111316.08655571798,1.1131608655571799,0.20608108108108114,0.27881188213013264,0.13695570945681723,0.1937510518627136,1.3659289215171901,1.228973212060373,0.0,0.0,0.0,2025-12-19T05:00:00+00:00,2026-04-21T04:00:00+00:00,83.0,1.0,0.0,100091.46974071565,1.0009146974071566,0.03869100099923606,0.12216055779672907,0.09131166161057025,0.13837028051388703,0.9022289842908034,0.8109173226802332,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2026-04-21T04:00:00+00:00,275.0,1.0,0.0,114369.58114266823,1.1436958114266824,0.2601618769164944,0.23602439776522477,0.13695570945681723,0.17896048013963686,1.2733444645066396,1.1363887550498224,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2025-12-18T05:00:00+00:00,192.0,1.0,0.0,122465.14699664987,1.2246514699664988,0.3719814192323492,0.51450095509932,0.17314533471090465,0.261147544439679,1.719775784349743,1.5466304496388383,0.0,0.0,0.0,2025-12-19T05:00:00+00:00,2026-04-21T04:00:00+00:00,83.0,1.0,0.0,98906.91301848815,0.9890691301848815,0.06190488399341043,0.20005101447277673,0.12877870675523406,0.19418716909818254,1.0364195555499742,0.9076408487947402,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2026-04-21T04:00:00+00:00,275.0,1.0,0.0,126985.4886548553,1.269854886548553,0.4839021796141554,0.4357193677377804,0.17314533471090465,0.24590640482295523,1.5935567606588963,1.4204114259479916,0.0,0.0,0.0,-0.8109173226802332,-0.03869100099923606,0.09131166161057025,-0.9076408487947402,-0.06190488399341043,0.12877870675523406,1,True
momentum,fail,False,"too_few_closed_trades,insufficient_advantage_vs_spy,insufficient_advantage_vs_equal_weight",True,walk_forward,-999.0,alpaca,0.0,0.0,2025-03-18T04:00:00+00:00,2025-12-18T05:00:00+00:00,2025-12-19T05:00:00+00:00,2026-04-21T04:00:00+00:00,192.0,12.0,5.0,6884.76875,0.0688476875,0.013009913875000167,0.017110120120408023,0.011219212547725066,0.017081409411123686,1.0017821149047474,0.9905629023570224,0.4,58.2,0.585521522475,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2026-04-21T04:00:00+00:00,275.0,30.0,14.0,7468.848090909091,0.07468848090909092,0.008305141224999923,0.007607894126841597,0.01860966524578689,0.016832877193491604,0.458680622845973,0.4400709576001861,0.2857142857142857,37.5,1.480865596475,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2025-12-18T05:00:00+00:00,192.0,1.0,0.0,111316.08655571798,1.1131608655571799,0.20608108108108114,0.27881188213013264,0.13695570945681723,0.1937510518627136,1.3659289215171901,1.228973212060373,0.0,0.0,0.0,2025-12-19T05:00:00+00:00,2026-04-21T04:00:00+00:00,83.0,1.0,0.0,100091.46974071565,1.0009146974071566,0.03869100099923606,0.12216055779672907,0.09131166161057025,0.13837028051388703,0.9022289842908034,0.8109173226802332,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2026-04-21T04:00:00+00:00,275.0,1.0,0.0,114369.58114266823,1.1436958114266824,0.2601618769164944,0.23602439776522477,0.13695570945681723,0.17896048013963686,1.2733444645066396,1.1363887550498224,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2025-12-18T05:00:00+00:00,192.0,1.0,0.0,122465.14699664987,1.2246514699664988,0.3719814192323492,0.51450095509932,0.17314533471090465,0.261147544439679,1.719775784349743,1.5466304496388383,0.0,0.0,0.0,2025-12-19T05:00:00+00:00,2026-04-21T04:00:00+00:00,83.0,1.0,0.0,98906.91301848815,0.9890691301848815,0.06190488399341043,0.20005101447277673,0.12877870675523406,0.19418716909818254,1.0364195555499742,0.9076408487947402,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2026-04-21T04:00:00+00:00,275.0,1.0,0.0,126985.4886548553,1.269854886548553,0.4839021796141554,0.4357193677377804,0.17314533471090465,0.24590640482295523,1.5935567606588963,1.4204114259479916,0.0,0.0,0.0,-0.8109173226802332,-0.03869100099923606,0.09131166161057025,-0.9076408487947402,-0.06190488399341043,0.12877870675523406,2,False
trend_trailing_stop,fail,False,"too_few_closed_trades,insufficient_advantage_vs_spy,insufficient_advantage_vs_equal_weight",True,walk_forward,-999.0,alpaca,0.0,0.0,2025-03-18T04:00:00+00:00,2025-12-18T05:00:00+00:00,2025-12-19T05:00:00+00:00,2026-04-21T04:00:00+00:00,192.0,19.0,9.0,6096.697630208334,0.06096697630208334,0.010878160175000318,0.014301792798727897,0.010817942629297028,0.015797234888222787,0.9068400080862105,0.8960220654569134,0.4444444444444444,34.888888888888886,0.9472976521250001,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2026-04-21T04:00:00+00:00,275.0,41.0,19.0,6764.548218181818,0.06764548218181818,0.0024592468750004315,0.00225333285535978,0.016853639867424053,0.015674040569130826,0.15143591266100104,0.13458227279357698,0.3157894736842105,25.68421052631579,2.0173772867250004,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2025-12-18T05:00:00+00:00,192.0,1.0,0.0,111316.08655571798,1.1131608655571799,0.20608108108108114,0.27881188213013264,0.13695570945681723,0.1937510518627136,1.3659289215171901,1.228973212060373,0.0,0.0,0.0,2025-12-19T05:00:00+00:00,2026-04-21T04:00:00+00:00,83.0,1.0,0.0,100091.46974071565,1.0009146974071566,0.03869100099923606,0.12216055779672907,0.09131166161057025,0.13837028051388703,0.9022289842908034,0.8109173226802332,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2026-04-21T04:00:00+00:00,275.0,1.0,0.0,114369.58114266823,1.1436958114266824,0.2601618769164944,0.23602439776522477,0.13695570945681723,0.17896048013963686,1.2733444645066396,1.1363887550498224,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2025-12-18T05:00:00+00:00,192.0,1.0,0.0,122465.14699664987,1.2246514699664988,0.3719814192323492,0.51450095509932,0.17314533471090465,0.261147544439679,1.719775784349743,1.5466304496388383,0.0,0.0,0.0,2025-12-19T05:00:00+00:00,2026-04-21T04:00:00+00:00,83.0,1.0,0.0,98906.91301848815,0.9890691301848815,0.06190488399341043,0.20005101447277673,0.12877870675523406,0.19418716909818254,1.0364195555499742,0.9076408487947402,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2026-04-21T04:00:00+00:00,275.0,1.0,0.0,126985.4886548553,1.269854886548553,0.4839021796141554,0.4357193677377804,0.17314533471090465,0.24590640482295523,1.5935567606588963,1.4204114259479916,0.0,0.0,0.0,-0.8109173226802332,-0.03869100099923606,0.09131166161057025,-0.9076408487947402,-0.06190488399341043,0.12877870675523406,3,False
breakout,fail,False,too_few_closed_trades,True,walk_forward,-999.0,alpaca,0.03362619501103614,0.3354228790796761,2025-03-18T04:00:00+00:00,2025-12-18T05:00:00+00:00,2025-12-19T05:00:00+00:00,2026-04-21T04:00:00+00:00,192.0,13.0,5.0,8536.736875,0.08536736875,0.0001567869499998764,0.0002057879129544471,0.01464542833892235,0.016236835495680325,0.020797270933774203,0.006151842594851853,0.4,72.6,0.6389980352,83.0,3.0,0.0,1209.4727710843372,0.012094727710843372,0.002033319649999976,0.006186240862524617,0.0004901981779629194,0.002511694764091805,2.456673224608034,2.456183026430071,0.0,0.0,0.14873503035,2025-03-18T04:00:00+00:00,2026-04-21T04:00:00+00:00,275.0,21.0,9.0,9042.731199999998,0.09042731199999998,-0.0003673320000004976,-0.000336614858673423,0.015984448523997496,0.01621546725101959,-0.012649362100304672,-0.028633810624302168,0.2222222222222222,75.55555555555556,1.0292393105499997,2.0,-0.0010713842749999203,-0.004271782395141921,0.00158209920000002,0.0035154208614911766,-0.6084172245517554,-0.6099993237517554,0.0,0.0,0.0,0.07405555927499999,2025-03-18T04:00:00+00:00,2025-12-18T05:00:00+00:00,192.0,1.0,0.0,111316.08655571798,1.1131608655571799,0.20608108108108114,0.27881188213013264,0.13695570945681723,0.1937510518627136,1.3659289215171901,1.228973212060373,0.0,0.0,0.0,2025-12-19T05:00:00+00:00,2026-04-21T04:00:00+00:00,83.0,1.0,0.0,100091.46974071565,1.0009146974071566,0.03869100099923606,0.12216055779672907,0.09131166161057025,0.13837028051388703,0.9022289842908034,0.8109173226802332,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2026-04-21T04:00:00+00:00,275.0,1.0,0.0,114369.58114266823,1.1436958114266824,0.2601618769164944,0.23602439776522477,0.13695570945681723,0.17896048013963686,1.2733444645066396,1.1363887550498224,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2025-12-18T05:00:00+00:00,192.0,1.0,0.0,122465.14699664987,1.2246514699664988,0.3719814192323492,0.51450095509932,0.17314533471090465,0.261147544439679,1.719775784349743,1.5466304496388383,0.0,0.0,0.0,2025-12-19T05:00:00+00:00,2026-04-21T04:00:00+00:00,83.0,1.0,0.0,98906.91301848815,0.9890691301848815,0.06190488399341043,0.20005101447277673,0.12877870675523406,0.19418716909818254,1.0364195555499742,0.9076408487947402,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2026-04-21T04:00:00+00:00,275.0,1.0,0.0,126985.4886548553,1.269854886548553,0.4839021796141554,0.4357193677377804,0.17314533471090465,0.24590640482295523,1.5935567606588963,1.4204114259479916,0.0,0.0,0.0,1.6452657037498377,-0.03665768134923608,0.09082146343260733,1.5485421776353308,-0.059871564343410455,0.12828850857727114,4,False
