timestamp,cash,gross_exposure,equity,open_positions
2025-03-18 04:00:00+00:00,100000.0,0.0,100000.0,0.0
2025-03-19 04:00:00+00:00,100000.0,0.0,100000.0,0.0
2025-03-20 04:00:00+00:00,100000.0,0.0,100000.0,0.0
2025-03-21 04:00:00+00:00,100000.0,0.0,100000.0,0.0
2025-03-24 04:00:00+00:00,100000.0,0.0,100000.0,0.0
2025-03-25 04:00:00+00:00,100000.0,0.0,100000.0,0.0
2025-03-26 04:00:00+00:00,100000.0,0.0,100000.0,0.0
2025-03-27 04:00:00+00:00,100000.0,0.0,100000.0,0.0
2025-03-28 04:00:00+00:00,100000.0,0.0,100000.0,0.0
2025-03-31 04:00:00+00:00,100000.0,0.0,100000.0,0.0
2025-04-01 04:00:00+00:00,100000.0,0.0,100000.0,0.0
2025-04-02 04:00:00+00:00,100000.0,0.0,100000.0,0.0
2025-04-03 04:00:00+00:00,100000.0,0.0,100000.0,0.0
2025-04-04 04:00:00+00:00,100000.0,0.0,100000.0,0.0
2025-04-07 04:00:00+00:00,100000.0,0.0,100000.0,0.0
2025-04-08 04:00:00+00:00,100000.0,0.0,100000.0,0.0
2025-04-09 04:00:00+00:00,100000.0,0.0,100000.0,0.0
2025-04-10 04:00:00+00:00,100000.0,0.0,100000.0,0.0
2025-04-11 04:00:00+00:00,100000.0,0.0,100000.0,0.0
2025-04-14 04:00:00+00:00,100000.0,0.0,100000.0,0.0
2025-04-15 04:00:00+00:00,100000.0,0.0,100000.0,0.0
2025-04-16 04:00:00+00:00,100000.0,0.0,100000.0,0.0
2025-04-17 04:00:00+00:00,100000.0,0.0,100000.0,0.0
2025-04-21 04:00:00+00:00,100000.0,0.0,100000.0,0.0
2025-04-22 04:00:00+00:00,100000.0,0.0,100000.0,0.0
2025-04-23 04:00:00+00:00,100000.0,0.0,100000.0,0.0
2025-04-24 04:00:00+00:00,100000.0,0.0,100000.0,0.0
2025-04-25 04:00:00+00:00,100000.0,0.0,100000.0,0.0
2025-04-28 04:00:00+00:00,100000.0,0.0,100000.0,0.0
2025-04-29 04:00:00+00:00,99099.55009979989,899.99990025,99999.55000004989,3.0
2025-04-30 04:00:00+00:00,99099.55009979989,896.4498074399999,99995.9999072399,3.0
2025-05-01 04:00:00+00:00,99099.55009979989,894.14040411,99993.6905039099,3.0
2025-05-02 04:00:00+00:00,99099.55009979989,910.7422915699999,100010.29239136989,3.0
2025-05-05 04:00:00+00:00,99392.32996299671,616.77267131,100009.1026343067,2.0
2025-05-06 04:00:00+00:00,99392.32996299671,614.83416726,100007.16413025671,2.0
2025-05-07 04:00:00+00:00,99392.32996299671,610.129299815,100002.45926281171,2.0
2025-05-08 04:00:00+00:00,99392.32996299671,608.7919255649999,100001.12188856171,2.0
2025-05-09 04:00:00+00:00,99392.32996299671,612.6020360099999,100004.9319990067,2.0
2025-05-12 04:00:00+00:00,99392.32996299671,621.01313237,100013.34309536671,2.0
2025-05-13 04:00:00+00:00,99392.32996299671,621.675963285,100014.00592628171,2.0
2025-05-14 04:00:00+00:00,99392.32996299671,622.755480325,100015.0854433217,2.0
2025-05-15 04:00:00+00:00,99392.32996299671,625.9082997,100018.2382626967,2.0
2025-05-16 04:00:00+00:00,99392.32996299671,626.458148405,100018.78811140171,2.0
2025-05-19 04:00:00+00:00,99392.32996299671,630.07851318,100022.4084761767,2.0
2025-05-20 04:00:00+00:00,99392.32996299671,631.099600515,100023.4295635117,2.0
2025-05-21 04:00:00+00:00,99392.32996299671,628.4513104150001,100020.7812734117,2.0
2025-05-22 04:00:00+00:00,99708.56726792037,310.67506613,100019.24233405037,1.0
2025-05-23 04:00:00+00:00,99708.56726792037,311.31133318999997,100019.87860111037,1.0
