strategy,period,total_return,risk_adjusted_score,max_drawdown,closed_trades,regime
momentum,2025Q1,0.0,0.0,0.0,0.0,recovery
momentum,2025Q2,0.00017560538858663044,0.9118977016039783,0.00037274314616952964,12.0,recovery
momentum,2025Q3,1.7278225108663392e-05,0.11762147951944975,0.00019690776771119634,10.0,recovery
momentum,2025Q4,6.038926844142978e-06,0.04192930895816533,0.00024115056031082105,10.0,recovery
momentum,2026Q1,-0.00013188884931369937,-1.2750768095307103,0.00021933743414981333,5.0,recovery
momentum,2026Q2,0.0,0.0,0.0,0.0,recovery
