timestamp,symbol,side,qty,close,fill_price,notional,realized_pnl,holding_days,signal,walk_forward_fold
2025-10-20 04:00:00+00:00,AAPL,buy,1.143968,262.245,262.3761225,300.14988810408005,0.0,0.0,long,1
2025-10-20 04:00:00+00:00,EEM,buy,5.461496,54.93,54.957465,300.14997526764,0.0,0.0,long,1
2025-11-04 05:00:00+00:00,EEM,sell,5.461496,54.625,54.597687500000006,298.18505189050006,-1.9649233771399606,15.0,exit,1
2025-11-05 05:00:00+00:00,EWZ,buy,9.350163,32.085,32.1010425,300.1499798449275,0.0,0.0,long,1
2025-11-19 05:00:00+00:00,EWZ,sell,9.350163,32.5,32.48375,303.72835735125,3.5783775063225205,14.0,exit,1
2025-11-25 05:00:00+00:00,KRE,buy,4.731114,63.41,63.44170499999999,300.14993870936996,0.0,0.0,long,1
2026-01-15 05:00:00+00:00,EEM,buy,5.163511,58.1,58.12905,300.14998909455,0.0,0.0,long,2
2026-01-20 05:00:00+00:00,EWZ,buy,8.925914,33.61,33.626805,300.14996952477,0.0,0.0,long,2
2026-02-05 05:00:00+00:00,EEM,sell,5.163511,58.51,58.480745,301.96597009569496,1.8159810011449968,21.0,exit,2
2026-02-06 05:00:00+00:00,BAC,buy,5.305978,56.54,56.56827,300.14999611805996,0.0,0.0,long,2
2026-02-12 05:00:00+00:00,BAC,sell,5.305978,52.51,52.483745,278.47759632761,-21.672399790449994,6.0,exit,2
2026-02-20 05:00:00+00:00,EEM,buy,4.811547,62.35,62.381175,300.149955427725,0.0,0.0,long,2
2026-03-03 05:00:00+00:00,EEM,sell,4.811547,58.46,58.43077,281.14239610119,-19.007559326534984,11.0,exit,2
2026-03-03 05:00:00+00:00,EWZ,sell,8.925914,36.83,36.811585,328.57704191369004,28.427072388920035,42.0,exit,2
