timestamp,symbol,side,qty,close,fill_price,notional,realized_pnl,holding_days,signal
2025-04-22 04:00:00+00:00,EFA,buy,3.642544,82.36,82.40118,300.14992380192,0.0,0.0,long
2025-04-24 04:00:00+00:00,EWZ,buy,11.219147,26.74,26.753369999999997,300.14999077538994,0.0,0.0,long
2025-05-06 04:00:00+00:00,EWZ,sell,11.219147,26.615,26.6016925,298.4482986062975,-1.701692169092479,12.0,exit
2025-05-08 04:00:00+00:00,BAC,buy,7.206341,41.63,41.650815,300.149975817915,0.0,0.0,long
2025-06-16 04:00:00+00:00,EFA,sell,3.642544,88.095,88.05095250000001,320.72946872316004,20.579544921240043,55.0,exit
2025-06-24 04:00:00+00:00,SPY,buy,0.494437,606.75,607.053375,300.149649574875,0.0,0.0,long
2025-07-11 04:00:00+00:00,BAC,sell,7.206341,46.7,46.67665,336.36785663765,36.21788081973501,64.0,exit
2025-07-15 04:00:00+00:00,AMD,buy,1.927277,155.66,155.73782999999997,300.14993778890994,0.0,0.0,long
2025-08-01 04:00:00+00:00,SPY,sell,0.494437,621.74,621.4291300000001,307.2575547498101,7.10790517493507,38.0,exit
2025-08-06 04:00:00+00:00,AMD,sell,1.927277,163.08,162.99846000000002,314.14318299342006,13.993245204510094,22.0,exit
2025-08-07 04:00:00+00:00,AAPL,buy,1.362583,220.17,220.28008499999999,300.149899059555,0.0,0.0,long
2025-08-07 04:00:00+00:00,EWZ,buy,10.687566,28.07,28.084035,300.14997760881,0.0,0.0,long
2025-08-19 04:00:00+00:00,EWZ,sell,10.687566,27.37,27.356315000000002,292.37242207929,-7.777555529519978,12.0,exit
2025-08-21 04:00:00+00:00,AAPL,sell,1.362583,224.9,224.78755,306.29169424165,6.141795182095034,14.0,exit
2025-08-22 04:00:00+00:00,BAC,buy,6.06183,49.49,49.514745,300.14996668335,0.0,0.0,long
2025-08-22 04:00:00+00:00,XLF,buy,5.599626,53.575,53.6017875,300.149962931475,0.0,0.0,long
2025-08-22 04:00:00+00:00,EWZ,buy,10.48951,28.6,28.6143,300.149985993,0.0,0.0,long
2025-09-05 04:00:00+00:00,XLF,sell,5.599626,53.085,53.0584575,297.107518136895,-3.0424447945799855,14.0,exit
2025-10-01 04:00:00+00:00,BAC,sell,6.06183,50.65,50.624675,306.87817365525,6.7282069719000335,40.0,exit
2025-10-01 04:00:00+00:00,EEM,buy,5.577244,53.79,53.816894999999995,300.14995473737997,0.0,0.0,long
2025-10-02 04:00:00+00:00,EWZ,sell,10.48951,30.255,30.2398725,317.201444987475,17.051458994475006,41.0,exit
2025-10-02 04:00:00+00:00,AMD,buy,1.767461,169.735,169.81986750000002,300.14999283141753,0.0,0.0,long
2025-10-10 04:00:00+00:00,EEM,sell,5.577244,51.95,51.92402500000001,289.59295688710006,-10.556997850279933,9.0,exit
2025-10-20 04:00:00+00:00,AAPL,buy,1.143968,262.245,262.3761225,300.14988810408005,0.0,0.0,long
2025-11-06 05:00:00+00:00,AMD,sell,1.767461,237.61,237.49119500000003,419.75642500589504,119.60643217447753,35.0,exit
2025-11-10 05:00:00+00:00,EWZ,buy,9.172909,32.705,32.721352499999995,300.14998883942246,0.0,0.0,long
2025-11-19 05:00:00+00:00,EWZ,sell,9.172909,32.5,32.48375,297.97048272875,-2.1795061106724467,9.0,exit
2025-11-25 05:00:00+00:00,KRE,buy,4.731114,63.41,63.44170499999999,300.14993870936996,0.0,0.0,long
