timestamp,symbol,side,qty,close,fill_price,notional,realized_pnl,holding_days,signal
2025-08-08 04:00:00+00:00,XLF,buy,5.787037,51.84,51.86592,300.14999807904,0.0,0.0,long
2025-08-15 04:00:00+00:00,BAC,buy,6.391137,46.94,46.963469999999994,300.1499707653899,0.0,0.0,long
2025-10-08 04:00:00+00:00,BAC,sell,6.391137,49.84,49.81508000000001,318.37500094596004,18.225030180570094,54.0,exit
2025-10-10 04:00:00+00:00,XLF,sell,5.787037,52.18,52.15391,301.81660686467,1.6666087856300036,63.0,exit
2025-10-13 04:00:00+00:00,AAPL,buy,1.211925,247.54,247.66376999999997,300.14991445724996,0.0,0.0,long
2025-10-13 04:00:00+00:00,SPY,buy,0.452444,663.065,663.3965325,300.14978075043,0.0,0.0,long
2025-10-16 04:00:00+00:00,BAC,buy,5.948839,50.43,50.455214999999995,300.149950745385,0.0,0.0,long
2025-11-17 05:00:00+00:00,BAC,sell,5.948839,51.49,51.464255,306.15256724994504,6.002616504560036,32.0,exit
2025-11-18 05:00:00+00:00,SPY,sell,0.452444,660.16,659.82992,298.53608832448003,-1.6136924259500087,36.0,exit
2025-11-18 05:00:00+00:00,AMD,buy,1.303101,230.22,230.33511,300.14991217611,0.0,0.0,long
2025-11-20 05:00:00+00:00,AMD,sell,1.303101,206.1,205.99695,268.43483154195,-31.715080634159985,2.0,exit
2025-11-21 05:00:00+00:00,EWZ,buy,9.361834,32.045,32.0610225,300.149970515265,0.0,0.0,long
2025-12-05 05:00:00+00:00,EWZ,sell,9.361834,32.54,32.52373,304.48176132082,4.331790805555005,14.0,exit
2025-12-10 05:00:00+00:00,EWZ,buy,9.160305,32.75,32.766375,300.1499887443749,0.0,0.0,long
2025-12-15 05:00:00+00:00,AAPL,sell,1.211925,274.115,273.97794250000004,332.04071796431253,31.890803507062582,63.0,exit
2025-12-16 05:00:00+00:00,EWZ,sell,9.160305,31.6,31.584200000000003,289.320905181,-10.829083563374942,6.0,exit
2025-12-18 05:00:00+00:00,SPY,buy,0.443449,676.515,676.8532574999999,300.1499001851175,0.0,0.0,long
