timestamp,symbol,side,qty,close,fill_price,notional,realized_pnl,holding_days,signal
2025-05-28 04:00:00+00:00,SPY,buy,0.765566,587.8,588.0939,450.22469464739993,0.0,0.0,long
2025-05-28 04:00:00+00:00,BAC,buy,10.213345,44.06,44.08203,450.22498069035004,0.0,0.0,long
2025-06-13 04:00:00+00:00,BAC,sell,10.213345,44.1,44.07795,450.18331024275005,-0.041670447600019,16.0,exit
2025-06-20 04:00:00+00:00,SPY,sell,0.765566,594.18,593.88291,454.65656387706,4.431869229660058,23.0,exit
2025-06-20 04:00:00+00:00,BAC,buy,9.885764,45.52,45.54276,450.22497726864003,0.0,0.0,long
2025-06-20 04:00:00+00:00,AMD,buy,3.508635,128.255,128.31912749999998,450.2249819159624,0.0,0.0,long
2025-07-15 04:00:00+00:00,BAC,sell,9.885764,46.11,46.086945,455.60466175098003,5.3796844823399885,25.0,exit
2025-08-06 04:00:00+00:00,AMD,sell,3.508635,163.08,162.99846000000002,571.9021017021,121.67711978613765,47.0,exit
2025-08-06 04:00:00+00:00,SPY,buy,0.711237,632.7,633.01635,450.22464972495,0.0,0.0,long
2025-08-06 04:00:00+00:00,EEM,buy,9.172441,49.06,49.08453,450.22495543773,0.0,0.0,long
2025-08-21 04:00:00+00:00,SPY,sell,0.711237,635.63,635.312185,451.857532522845,1.6328827978950078,15.0,exit
2025-09-02 04:00:00+00:00,EEM,sell,9.172441,49.8,49.7751,456.55916801909996,6.334212581370009,27.0,exit
2025-09-02 04:00:00+00:00,BAC,buy,8.9268,50.41,50.435204999999996,450.22498799399995,0.0,0.0,long
2025-09-02 04:00:00+00:00,AAPL,buy,1.959162,229.69,229.80484499999997,450.22491973988997,0.0,0.0,long
2025-09-10 04:00:00+00:00,AAPL,sell,1.959162,226.81,226.696595,444.13535445339,-6.0895652864999406,8.0,exit
2025-09-10 04:00:00+00:00,EEM,buy,8.729388,51.55,51.57577499999999,450.22495137569996,0.0,0.0,long
2025-10-01 04:00:00+00:00,BAC,sell,8.9268,50.65,50.624675,451.91634879000003,1.6913607960000636,29.0,exit
2025-10-10 04:00:00+00:00,EEM,sell,8.729388,51.95,51.92402500000001,453.26496074670007,3.0400093710001257,30.0,exit
2025-10-10 04:00:00+00:00,AMD,buy,2.095459,214.75,214.857375,450.224820160125,0.0,0.0,long
2025-11-06 05:00:00+00:00,AMD,sell,2.095459,237.61,237.49119500000003,497.65306198350504,47.42824182338009,27.0,exit
2025-11-06 05:00:00+00:00,EWZ,buy,14.042752,32.045,32.0610225,450.22498783392,0.0,0.0,long
2025-11-06 05:00:00+00:00,AAPL,buy,1.667593,269.85,269.98492500000003,450.2249710355251,0.0,0.0,long
2025-11-17 05:00:00+00:00,AAPL,sell,1.667593,267.5,267.36625000000004,445.85808693625006,-4.366884099274993,11.0,exit
2025-11-20 05:00:00+00:00,EWZ,sell,14.042752,31.895,31.8790525,447.66962825248,-2.5553595814399963,14.0,exit
2025-11-21 05:00:00+00:00,AAPL,buy,1.657519,271.49,271.625745,450.224833226655,0.0,0.0,long
2025-12-15 05:00:00+00:00,AAPL,sell,1.657519,274.115,273.97794250000004,454.1236452746576,3.8988120480025747,24.0,exit
2025-12-15 05:00:00+00:00,XLF,buy,8.18033,55.01,55.037504999999996,450.22495327664996,0.0,0.0,long
2025-12-15 05:00:00+00:00,EFA,buy,4.634636,97.095,97.1435475,450.22498241121,0.0,0.0,long
2025-12-17 05:00:00+00:00,EFA,sell,4.634636,94.14,94.09293000000001,436.08648072348007,-14.138501687729942,2.0,exit
2025-12-17 05:00:00+00:00,BAC,buy,8.252338,54.53,54.557265,450.22499113557,0.0,0.0,long
