timestamp,cash,gross_exposure,equity,open_positions
2025-12-19 05:00:00+00:00,100000.0,0.0,100000.0,0.0
2025-12-22 05:00:00+00:00,100000.0,0.0,100000.0,0.0
2025-12-23 05:00:00+00:00,100000.0,0.0,100000.0,0.0
2025-12-24 05:00:00+00:00,100000.0,0.0,100000.0,0.0
2025-12-26 05:00:00+00:00,100000.0,0.0,100000.0,0.0
2025-12-29 05:00:00+00:00,100000.0,0.0,100000.0,0.0
2025-12-30 05:00:00+00:00,100000.0,0.0,100000.0,0.0
2025-12-31 05:00:00+00:00,100000.0,0.0,100000.0,0.0
2026-01-02 05:00:00+00:00,100000.0,0.0,100000.0,0.0
2026-01-05 05:00:00+00:00,100000.0,0.0,100000.0,0.0
2026-01-06 05:00:00+00:00,100000.0,0.0,100000.0,0.0
2026-01-07 05:00:00+00:00,100000.0,0.0,100000.0,0.0
2026-01-08 05:00:00+00:00,100000.0,0.0,100000.0,0.0
2026-01-09 05:00:00+00:00,100000.0,0.0,100000.0,0.0
2026-01-12 05:00:00+00:00,100000.0,0.0,100000.0,0.0
2026-01-13 05:00:00+00:00,100000.0,0.0,100000.0,0.0
2026-01-14 05:00:00+00:00,100000.0,0.0,100000.0,0.0
2026-01-15 05:00:00+00:00,100000.0,0.0,100000.0,0.0
2026-01-16 05:00:00+00:00,100000.0,0.0,100000.0,0.0
2026-01-20 05:00:00+00:00,100000.0,0.0,100000.0,0.0
2026-01-21 05:00:00+00:00,99099.55012593792,899.9998741249999,99999.55000006293,2.0
2026-01-22 05:00:00+00:00,99099.55012593792,915.4382150299999,100014.98834096792,2.0
2026-01-23 05:00:00+00:00,99099.55012593792,915.44319778,100014.99332371792,2.0
2026-01-26 05:00:00+00:00,99099.55012593792,914.151734025,100013.70185996292,2.0
2026-01-27 05:00:00+00:00,99099.55012593792,931.712548,100031.26267393792,2.0
2026-01-28 05:00:00+00:00,99099.55012593792,935.170748625,100034.72087456292,2.0
2026-01-29 05:00:00+00:00,99099.55012593792,932.77870919,100032.32883512792,2.0
2026-01-30 05:00:00+00:00,99099.55012593792,912.6860256999998,100012.23615163792,2.0
2026-02-02 05:00:00+00:00,99099.55012593792,922.01629974,100021.56642567793,2.0
2026-02-03 05:00:00+00:00,99099.55012593792,930.8704002499999,100030.42052618793,2.0
2026-02-04 05:00:00+00:00,99099.55012593792,913.1501778,100012.70030373792,2.0
2026-02-05 05:00:00+00:00,99529.51326652308,474.49282551,100004.00609203307,1.0
2026-02-06 05:00:00+00:00,99529.51326652308,482.91425352,100012.42752004307,1.0
