timestamp,symbol,side,qty,close,fill_price,notional,realized_pnl,holding_days,signal
2026-01-06 05:00:00+00:00,AAPL,buy,19.0,262.22,262.35111,4984.67109,0.0,0.0,long
2026-02-02 05:00:00+00:00,AAPL,sell,19.0,269.95,269.815025,5126.4854749999995,141.81438499999973,27.0,exit
2026-02-04 05:00:00+00:00,NVDA,buy,28.0,174.195,174.2820975,4879.89873,0.0,0.0,long
2026-02-06 05:00:00+00:00,NVDA,sell,28.0,185.21,185.11739500000002,5183.287060000001,303.3883300000007,2.0,exit
2026-02-17 05:00:00+00:00,GOOGL,buy,16.0,302.11,302.261055,4836.17688,0.0,0.0,long
2026-02-27 05:00:00+00:00,NVDA,buy,28.0,177.205,177.2936025,4964.22087,0.0,0.0,long
2026-03-06 05:00:00+00:00,KRE,buy,76.0,64.97,65.002485,4940.188859999999,0.0,0.0,long
2026-03-11 04:00:00+00:00,NVDA,sell,28.0,186.01,185.91699500000001,5205.67586,241.45499000000063,11.0,exit
2026-03-26 04:00:00+00:00,EEM,buy,90.0,55.44,55.46771999999999,4992.094799999999,0.0,0.0,long
2026-04-08 04:00:00+00:00,EEM,sell,90.0,60.45,60.41977500000001,5437.779750000001,445.68495000000144,13.0,exit
2026-04-08 04:00:00+00:00,GOOGL,sell,16.0,317.24,317.08138,5073.30208,237.1252000000004,49.0,exit
2026-04-08 04:00:00+00:00,KRE,sell,76.0,68.69,68.655655,5217.82978,277.6409200000002,32.0,exit
