strategy,recommendation,benchmark_valid,benchmark_invalid_reasons,walk_forward_available,evaluation_mode,selection_score,source,sensitivity_stability_score,symbol_concentration,in_sample_start_at,in_sample_end_at,out_of_sample_start_at,out_of_sample_end_at,in_sample_trading_days,in_sample_trades,in_sample_closed_trades,in_sample_gross_exposure,in_sample_gross_exposure_usage,in_sample_total_return,in_sample_annualized_return,in_sample_max_drawdown,in_sample_volatility,in_sample_sharpe_like,in_sample_risk_adjusted_score,in_sample_win_rate,in_sample_avg_holding_days,in_sample_turnover,out_of_sample_trading_days,out_of_sample_trades,out_of_sample_closed_trades,out_of_sample_gross_exposure,out_of_sample_gross_exposure_usage,out_of_sample_total_return,out_of_sample_annualized_return,out_of_sample_max_drawdown,out_of_sample_volatility,out_of_sample_sharpe_like,out_of_sample_risk_adjusted_score,out_of_sample_win_rate,out_of_sample_avg_holding_days,out_of_sample_turnover,combined_start_at,combined_end_at,combined_trading_days,combined_trades,combined_closed_trades,combined_gross_exposure,combined_gross_exposure_usage,combined_total_return,combined_annualized_return,combined_max_drawdown,combined_volatility,combined_sharpe_like,combined_risk_adjusted_score,combined_win_rate,combined_avg_holding_days,combined_turnover,walk_forward_folds,walk_forward_total_return,walk_forward_annualized_return,walk_forward_max_drawdown,walk_forward_volatility,walk_forward_sharpe_like,walk_forward_risk_adjusted_score,walk_forward_win_rate,walk_forward_closed_trades,walk_forward_avg_holding_days,walk_forward_turnover,spy_in_sample_start_at,spy_in_sample_end_at,spy_in_sample_trading_days,spy_in_sample_trades,spy_in_sample_closed_trades,spy_in_sample_gross_exposure,spy_in_sample_gross_exposure_usage,spy_in_sample_total_return,spy_in_sample_annualized_return,spy_in_sample_max_drawdown,spy_in_sample_volatility,spy_in_sample_sharpe_like,spy_in_sample_risk_adjusted_score,spy_in_sample_win_rate,spy_in_sample_avg_holding_days,spy_in_sample_turnover,spy_out_of_sample_start_at,spy_out_of_sample_end_at,spy_out_of_sample_trading_days,spy_out_of_sample_trades,spy_out_of_sample_closed_trades,spy_out_of_sample_gross_exposure,spy_out_of_sample_gross_exposure_usage,spy_out_of_sample_total_return,spy_out_of_sample_annualized_return,spy_out_of_sample_max_drawdown,spy_out_of_sample_volatility,spy_out_of_sample_sharpe_like,spy_out_of_sample_risk_adjusted_score,spy_out_of_sample_win_rate,spy_out_of_sample_avg_holding_days,spy_out_of_sample_turnover,spy_combined_start_at,spy_combined_end_at,spy_combined_trading_days,spy_combined_trades,spy_combined_closed_trades,spy_combined_gross_exposure,spy_combined_gross_exposure_usage,spy_combined_total_return,spy_combined_annualized_return,spy_combined_max_drawdown,spy_combined_volatility,spy_combined_sharpe_like,spy_combined_risk_adjusted_score,spy_combined_win_rate,spy_combined_avg_holding_days,spy_combined_turnover,equal_weight_in_sample_start_at,equal_weight_in_sample_end_at,equal_weight_in_sample_trading_days,equal_weight_in_sample_trades,equal_weight_in_sample_closed_trades,equal_weight_in_sample_gross_exposure,equal_weight_in_sample_gross_exposure_usage,equal_weight_in_sample_total_return,equal_weight_in_sample_annualized_return,equal_weight_in_sample_max_drawdown,equal_weight_in_sample_volatility,equal_weight_in_sample_sharpe_like,equal_weight_in_sample_risk_adjusted_score,equal_weight_in_sample_win_rate,equal_weight_in_sample_avg_holding_days,equal_weight_in_sample_turnover,equal_weight_out_of_sample_start_at,equal_weight_out_of_sample_end_at,equal_weight_out_of_sample_trading_days,equal_weight_out_of_sample_trades,equal_weight_out_of_sample_closed_trades,equal_weight_out_of_sample_gross_exposure,equal_weight_out_of_sample_gross_exposure_usage,equal_weight_out_of_sample_total_return,equal_weight_out_of_sample_annualized_return,equal_weight_out_of_sample_max_drawdown,equal_weight_out_of_sample_volatility,equal_weight_out_of_sample_sharpe_like,equal_weight_out_of_sample_risk_adjusted_score,equal_weight_out_of_sample_win_rate,equal_weight_out_of_sample_avg_holding_days,equal_weight_out_of_sample_turnover,equal_weight_combined_start_at,equal_weight_combined_end_at,equal_weight_combined_trading_days,equal_weight_combined_trades,equal_weight_combined_closed_trades,equal_weight_combined_gross_exposure,equal_weight_combined_gross_exposure_usage,equal_weight_combined_total_return,equal_weight_combined_annualized_return,equal_weight_combined_max_drawdown,equal_weight_combined_volatility,equal_weight_combined_sharpe_like,equal_weight_combined_risk_adjusted_score,equal_weight_combined_win_rate,equal_weight_combined_avg_holding_days,equal_weight_combined_turnover,spy_out_of_sample_risk_adjusted_score_delta,spy_out_of_sample_total_return_delta,spy_out_of_sample_max_drawdown_delta,equal_weight_out_of_sample_risk_adjusted_score_delta,equal_weight_out_of_sample_total_return_delta,equal_weight_out_of_sample_max_drawdown_delta,rank,winner
mean_reversion,fail,False,"too_few_closed_trades,insufficient_advantage_vs_spy,insufficient_advantage_vs_equal_weight",True,walk_forward,-999.0,alpaca,0.0,0.0,2025-03-18T04:00:00+00:00,2025-12-17T05:00:00+00:00,2025-12-18T05:00:00+00:00,2026-04-20T04:00:00+00:00,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2026-04-20T04:00:00+00:00,274.0,12.0,6.0,1660.076003649635,0.01660076003649635,0.016471087749999835,0.015138633585424888,0.0064662112615160305,0.010990444916128876,1.372638130893813,1.366171919632297,1.0,22.333333333333332,0.60841611235,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2025-12-17T05:00:00+00:00,191.0,1.0,0.0,111267.43722821858,1.1126743722821857,0.1970156172003137,0.2677764786619603,0.13695570945681723,0.19411227676130394,1.3190492551421893,1.182093545685372,0.0,0.0,0.0,2025-12-18T05:00:00+00:00,2026-04-20T04:00:00+00:00,83.0,1.0,0.0,100629.99164125072,1.006299916412507,0.04770773744854129,0.15199879669674998,0.09131166161057036,0.1385684407539862,1.0906227953753367,0.9993111337647663,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2026-04-20T04:00:00+00:00,274.0,1.0,0.0,114327.07527935079,1.1432707527935078,0.26362048063895016,0.24010270465590877,0.13695570945681723,0.17925261657221092,1.2899521859731697,1.1529964765163525,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2025-12-17T05:00:00+00:00,191.0,1.0,0.0,122388.01089755782,1.2238801089755782,0.35502151129500237,0.4930902943678521,0.17314533471090465,0.2615382986300547,1.6630562742519928,1.489910939541088,0.0,0.0,0.0,2025-12-18T05:00:00+00:00,2026-04-20T04:00:00+00:00,83.0,1.0,0.0,100263.47300328081,1.0026347300328082,0.07732271513889422,0.25373738663907974,0.1292465943443809,0.19662610967178232,1.2487511668540308,1.11950457250965,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2026-04-20T04:00:00+00:00,274.0,1.0,0.0,126907.36920483135,1.2690736920483134,0.4815299183300521,0.43550182705860285,0.17314533471090465,0.24635472645571752,1.5904842913020953,1.4173389565911907,0.0,0.0,0.0,-0.9993111337647663,-0.04770773744854129,0.09131166161057036,-1.11950457250965,-0.07732271513889422,0.1292465943443809,1,True
momentum,fail,False,"too_few_closed_trades,insufficient_advantage_vs_spy,insufficient_advantage_vs_equal_weight",True,walk_forward,-999.0,alpaca,0.0,0.0,2025-03-18T04:00:00+00:00,2025-12-17T05:00:00+00:00,2025-12-18T05:00:00+00:00,2026-04-20T04:00:00+00:00,191.0,12.0,5.0,6862.255706806284,0.06862255706806285,0.010178813875000081,0.013451417759448914,0.011219212547725066,0.016834004151913606,0.8021743021605483,0.7909550896128232,0.4,58.2,0.585521522475,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2026-04-20T04:00:00+00:00,274.0,30.0,14.0,7457.7349452554745,0.07457734945255474,0.008668341224999931,0.00796957727746106,0.01860966524578689,0.016859387538581322,0.4792736617806861,0.4606639965348992,0.2857142857142857,37.5,1.480865596475,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2025-12-17T05:00:00+00:00,191.0,1.0,0.0,111267.43722821858,1.1126743722821857,0.1970156172003137,0.2677764786619603,0.13695570945681723,0.19411227676130394,1.3190492551421893,1.182093545685372,0.0,0.0,0.0,2025-12-18T05:00:00+00:00,2026-04-20T04:00:00+00:00,83.0,1.0,0.0,100629.99164125072,1.006299916412507,0.04770773744854129,0.15199879669674998,0.09131166161057036,0.1385684407539862,1.0906227953753367,0.9993111337647663,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2026-04-20T04:00:00+00:00,274.0,1.0,0.0,114327.07527935079,1.1432707527935078,0.26362048063895016,0.24010270465590877,0.13695570945681723,0.17925261657221092,1.2899521859731697,1.1529964765163525,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2025-12-17T05:00:00+00:00,191.0,1.0,0.0,122388.01089755782,1.2238801089755782,0.35502151129500237,0.4930902943678521,0.17314533471090465,0.2615382986300547,1.6630562742519928,1.489910939541088,0.0,0.0,0.0,2025-12-18T05:00:00+00:00,2026-04-20T04:00:00+00:00,83.0,1.0,0.0,100263.47300328081,1.0026347300328082,0.07732271513889422,0.25373738663907974,0.1292465943443809,0.19662610967178232,1.2487511668540308,1.11950457250965,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2026-04-20T04:00:00+00:00,274.0,1.0,0.0,126907.36920483135,1.2690736920483134,0.4815299183300521,0.43550182705860285,0.17314533471090465,0.24635472645571752,1.5904842913020953,1.4173389565911907,0.0,0.0,0.0,-0.9993111337647663,-0.04770773744854129,0.09131166161057036,-1.11950457250965,-0.07732271513889422,0.1292465943443809,2,False
trend_trailing_stop,fail,False,"too_few_closed_trades,insufficient_advantage_vs_spy,insufficient_advantage_vs_equal_weight",True,walk_forward,-999.0,alpaca,0.0,0.0,2025-03-18T04:00:00+00:00,2025-12-17T05:00:00+00:00,2025-12-18T05:00:00+00:00,2026-04-20T04:00:00+00:00,191.0,18.0,9.0,6103.823769633507,0.061038237696335075,0.010901838200000125,0.014408555380653443,0.010817942629297028,0.015838265144059654,0.911177496620365,0.9003595539910679,0.4444444444444444,34.888888888888886,0.8999179241,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2026-04-20T04:00:00+00:00,274.0,41.0,19.0,6736.119069343065,0.06736119069343065,0.0026064468750004455,0.002396919517729801,0.016853639867424053,0.015701899312098012,0.16031847385282458,0.14346483398540053,0.3157894736842105,25.68421052631579,2.0173772867250004,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2025-12-17T05:00:00+00:00,191.0,1.0,0.0,111267.43722821858,1.1126743722821857,0.1970156172003137,0.2677764786619603,0.13695570945681723,0.19411227676130394,1.3190492551421893,1.182093545685372,0.0,0.0,0.0,2025-12-18T05:00:00+00:00,2026-04-20T04:00:00+00:00,83.0,1.0,0.0,100629.99164125072,1.006299916412507,0.04770773744854129,0.15199879669674998,0.09131166161057036,0.1385684407539862,1.0906227953753367,0.9993111337647663,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2026-04-20T04:00:00+00:00,274.0,1.0,0.0,114327.07527935079,1.1432707527935078,0.26362048063895016,0.24010270465590877,0.13695570945681723,0.17925261657221092,1.2899521859731697,1.1529964765163525,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2025-12-17T05:00:00+00:00,191.0,1.0,0.0,122388.01089755782,1.2238801089755782,0.35502151129500237,0.4930902943678521,0.17314533471090465,0.2615382986300547,1.6630562742519928,1.489910939541088,0.0,0.0,0.0,2025-12-18T05:00:00+00:00,2026-04-20T04:00:00+00:00,83.0,1.0,0.0,100263.47300328081,1.0026347300328082,0.07732271513889422,0.25373738663907974,0.1292465943443809,0.19662610967178232,1.2487511668540308,1.11950457250965,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2026-04-20T04:00:00+00:00,274.0,1.0,0.0,126907.36920483135,1.2690736920483134,0.4815299183300521,0.43550182705860285,0.17314533471090465,0.24635472645571752,1.5904842913020953,1.4173389565911907,0.0,0.0,0.0,-0.9993111337647663,-0.04770773744854129,0.09131166161057036,-1.11950457250965,-0.07732271513889422,0.1292465943443809,3,False
breakout,fail,False,too_few_closed_trades,True,walk_forward,-999.0,alpaca,0.00615147511217895,0.3354228790796761,2025-03-18T04:00:00+00:00,2025-12-17T05:00:00+00:00,2025-12-18T05:00:00+00:00,2026-04-20T04:00:00+00:00,191.0,13.0,5.0,8505.85767015707,0.08505857670157069,-0.0010681130500000968,-0.0014089977386749775,0.01464542833892235,0.01621805442056001,-0.07882428945626949,-0.09346971779519184,0.4,72.6,0.6389980352,83.0,3.0,0.0,1027.8241566265058,0.010278241566265058,0.0013472696499998715,0.004096118664618231,0.0004901981779629194,0.0022289335517634897,1.835078842821368,1.834588644643405,0.0,0.0,0.14873503035,2025-03-18T04:00:00+00:00,2026-04-20T04:00:00+00:00,274.0,21.0,9.0,9020.708923357663,0.09020708923357662,-0.0010533820000003802,-0.0009688448685651885,0.015984448523997496,0.016231593115067215,-0.05159659616864491,-0.06758104469264241,0.2222222222222222,75.55555555555556,1.0292393105499997,2.0,-0.0010713842749999203,-0.004271782395141921,0.00158209920000002,0.0035154208614911766,-0.6084172245517554,-0.6099993237517554,0.0,0.0,0.0,0.07405555927499999,2025-03-18T04:00:00+00:00,2025-12-17T05:00:00+00:00,191.0,1.0,0.0,111267.43722821858,1.1126743722821857,0.1970156172003137,0.2677764786619603,0.13695570945681723,0.19411227676130394,1.3190492551421893,1.182093545685372,0.0,0.0,0.0,2025-12-18T05:00:00+00:00,2026-04-20T04:00:00+00:00,83.0,1.0,0.0,100629.99164125072,1.006299916412507,0.04770773744854129,0.15199879669674998,0.09131166161057036,0.1385684407539862,1.0906227953753367,0.9993111337647663,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2026-04-20T04:00:00+00:00,274.0,1.0,0.0,114327.07527935079,1.1432707527935078,0.26362048063895016,0.24010270465590877,0.13695570945681723,0.17925261657221092,1.2899521859731697,1.1529964765163525,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2025-12-17T05:00:00+00:00,191.0,1.0,0.0,122388.01089755782,1.2238801089755782,0.35502151129500237,0.4930902943678521,0.17314533471090465,0.2615382986300547,1.6630562742519928,1.489910939541088,0.0,0.0,0.0,2025-12-18T05:00:00+00:00,2026-04-20T04:00:00+00:00,83.0,1.0,0.0,100263.47300328081,1.0026347300328082,0.07732271513889422,0.25373738663907974,0.1292465943443809,0.19662610967178232,1.2487511668540308,1.11950457250965,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2026-04-20T04:00:00+00:00,274.0,1.0,0.0,126907.36920483135,1.2690736920483134,0.4815299183300521,0.43550182705860285,0.17314533471090465,0.24635472645571752,1.5904842913020953,1.4173389565911907,0.0,0.0,0.0,0.8352775108786387,-0.046360467798541416,0.09082146343260744,0.715084072133755,-0.07597544548889434,0.12875639616641799,4,False
