strategy,period,total_return,risk_adjusted_score,max_drawdown,closed_trades,regime
momentum,2025Q1,0.0,0.0,0.0,0.0,recovery
momentum,2025Q2,0.00021457584044504152,8.430529894966748,4.499999554985479e-06,0.0,recovery
momentum,2025Q3,0.00020669999999989308,8.688912662745139,4.500000000073889e-06,0.0,recovery
momentum,2025Q4,0.00018793206511813487,8.656674743981288,4.499998881968281e-06,0.0,recovery
momentum,2026Q1,0.00015015178505395355,8.031105255367777,4.49999894602815e-06,0.0,recovery
momentum,2026Q2,0.0,0.0,0.0,0.0,recovery
