strategy,recommendation,benchmark_valid,benchmark_invalid_reasons,walk_forward_available,evaluation_mode,selection_score,source,sensitivity_stability_score,symbol_concentration,in_sample_start_at,in_sample_end_at,out_of_sample_start_at,out_of_sample_end_at,in_sample_trading_days,in_sample_trades,in_sample_closed_trades,in_sample_gross_exposure,in_sample_gross_exposure_usage,in_sample_total_return,in_sample_annualized_return,in_sample_max_drawdown,in_sample_volatility,in_sample_sharpe_like,in_sample_risk_adjusted_score,in_sample_win_rate,in_sample_avg_holding_days,in_sample_turnover,out_of_sample_trading_days,out_of_sample_trades,out_of_sample_closed_trades,out_of_sample_gross_exposure,out_of_sample_gross_exposure_usage,out_of_sample_total_return,out_of_sample_annualized_return,out_of_sample_max_drawdown,out_of_sample_volatility,out_of_sample_sharpe_like,out_of_sample_risk_adjusted_score,out_of_sample_win_rate,out_of_sample_avg_holding_days,out_of_sample_turnover,combined_start_at,combined_end_at,combined_trading_days,combined_trades,combined_closed_trades,combined_gross_exposure,combined_gross_exposure_usage,combined_total_return,combined_annualized_return,combined_max_drawdown,combined_volatility,combined_sharpe_like,combined_risk_adjusted_score,combined_win_rate,combined_avg_holding_days,combined_turnover,walk_forward_folds,walk_forward_total_return,walk_forward_annualized_return,walk_forward_max_drawdown,walk_forward_volatility,walk_forward_sharpe_like,walk_forward_risk_adjusted_score,walk_forward_win_rate,walk_forward_closed_trades,walk_forward_avg_holding_days,walk_forward_turnover,spy_in_sample_start_at,spy_in_sample_end_at,spy_in_sample_trading_days,spy_in_sample_trades,spy_in_sample_closed_trades,spy_in_sample_gross_exposure,spy_in_sample_gross_exposure_usage,spy_in_sample_total_return,spy_in_sample_annualized_return,spy_in_sample_max_drawdown,spy_in_sample_volatility,spy_in_sample_sharpe_like,spy_in_sample_risk_adjusted_score,spy_in_sample_win_rate,spy_in_sample_avg_holding_days,spy_in_sample_turnover,spy_out_of_sample_start_at,spy_out_of_sample_end_at,spy_out_of_sample_trading_days,spy_out_of_sample_trades,spy_out_of_sample_closed_trades,spy_out_of_sample_gross_exposure,spy_out_of_sample_gross_exposure_usage,spy_out_of_sample_total_return,spy_out_of_sample_annualized_return,spy_out_of_sample_max_drawdown,spy_out_of_sample_volatility,spy_out_of_sample_sharpe_like,spy_out_of_sample_risk_adjusted_score,spy_out_of_sample_win_rate,spy_out_of_sample_avg_holding_days,spy_out_of_sample_turnover,spy_combined_start_at,spy_combined_end_at,spy_combined_trading_days,spy_combined_trades,spy_combined_closed_trades,spy_combined_gross_exposure,spy_combined_gross_exposure_usage,spy_combined_total_return,spy_combined_annualized_return,spy_combined_max_drawdown,spy_combined_volatility,spy_combined_sharpe_like,spy_combined_risk_adjusted_score,spy_combined_win_rate,spy_combined_avg_holding_days,spy_combined_turnover,equal_weight_in_sample_start_at,equal_weight_in_sample_end_at,equal_weight_in_sample_trading_days,equal_weight_in_sample_trades,equal_weight_in_sample_closed_trades,equal_weight_in_sample_gross_exposure,equal_weight_in_sample_gross_exposure_usage,equal_weight_in_sample_total_return,equal_weight_in_sample_annualized_return,equal_weight_in_sample_max_drawdown,equal_weight_in_sample_volatility,equal_weight_in_sample_sharpe_like,equal_weight_in_sample_risk_adjusted_score,equal_weight_in_sample_win_rate,equal_weight_in_sample_avg_holding_days,equal_weight_in_sample_turnover,equal_weight_out_of_sample_start_at,equal_weight_out_of_sample_end_at,equal_weight_out_of_sample_trading_days,equal_weight_out_of_sample_trades,equal_weight_out_of_sample_closed_trades,equal_weight_out_of_sample_gross_exposure,equal_weight_out_of_sample_gross_exposure_usage,equal_weight_out_of_sample_total_return,equal_weight_out_of_sample_annualized_return,equal_weight_out_of_sample_max_drawdown,equal_weight_out_of_sample_volatility,equal_weight_out_of_sample_sharpe_like,equal_weight_out_of_sample_risk_adjusted_score,equal_weight_out_of_sample_win_rate,equal_weight_out_of_sample_avg_holding_days,equal_weight_out_of_sample_turnover,equal_weight_combined_start_at,equal_weight_combined_end_at,equal_weight_combined_trading_days,equal_weight_combined_trades,equal_weight_combined_closed_trades,equal_weight_combined_gross_exposure,equal_weight_combined_gross_exposure_usage,equal_weight_combined_total_return,equal_weight_combined_annualized_return,equal_weight_combined_max_drawdown,equal_weight_combined_volatility,equal_weight_combined_sharpe_like,equal_weight_combined_risk_adjusted_score,equal_weight_combined_win_rate,equal_weight_combined_avg_holding_days,equal_weight_combined_turnover,spy_out_of_sample_risk_adjusted_score_delta,spy_out_of_sample_total_return_delta,spy_out_of_sample_max_drawdown_delta,equal_weight_out_of_sample_risk_adjusted_score_delta,equal_weight_out_of_sample_total_return_delta,equal_weight_out_of_sample_max_drawdown_delta,rank,winner
mean_reversion,fail,False,"too_few_closed_trades,insufficient_advantage_vs_spy,insufficient_advantage_vs_equal_weight",True,walk_forward,-999.0,alpaca,0.0,0.0,2025-03-18T04:00:00+00:00,2025-12-18T05:00:00+00:00,2025-12-19T05:00:00+00:00,2026-04-21T04:00:00+00:00,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2026-04-21T04:00:00+00:00,275.0,12.0,6.0,1654.0393636363635,0.016540393636363636,0.016471087749999835,0.015083170923158695,0.0064662112615160305,0.01097059322164001,1.3701215268683715,1.3636553156068554,1.0,22.333333333333332,0.60841611235,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2025-12-18T05:00:00+00:00,192.0,1.0,0.0,111316.08655571798,1.1131608655571799,0.20608108108108114,0.27881188213013264,0.13695570945681723,0.1937510518627136,1.3659289215171901,1.228973212060373,0.0,0.0,0.0,2025-12-19T05:00:00+00:00,2026-04-21T04:00:00+00:00,83.0,1.0,0.0,100091.52285389134,1.0009152285389133,0.038735084935049624,0.12230516509290257,0.09131166161057025,0.13836729785707702,0.9031771696286115,0.8118655080180412,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2026-04-21T04:00:00+00:00,275.0,1.0,0.0,114369.60059123649,1.1436960059123649,0.2602153604792128,0.23607246931370884,0.13695570945681723,0.17895969552905905,1.2735667758446383,1.136611066387821,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2025-12-18T05:00:00+00:00,192.0,1.0,0.0,122465.14699664987,1.2246514699664988,0.3719814192323492,0.51450095509932,0.17314533471090465,0.261147544439679,1.719775784349743,1.5466304496388383,0.0,0.0,0.0,2025-12-19T05:00:00+00:00,2026-04-21T04:00:00+00:00,83.0,1.0,0.0,98907.11460794913,0.9890711460794913,0.062072203246018365,0.20062519983810456,0.12877870675523406,0.19418758418903143,1.0388830799057645,0.9101043731505304,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2026-04-21T04:00:00+00:00,275.0,1.0,0.0,126985.56899030968,1.2698556899030968,0.4841231021137318,0.43591523839376634,0.17314533471090465,0.24590647177654762,1.5941120101606905,1.4209666754497858,0.0,0.0,0.0,-0.8118655080180412,-0.038735084935049624,0.09131166161057025,-0.9101043731505304,-0.062072203246018365,0.12877870675523406,1,True
momentum,fail,False,"too_few_closed_trades,insufficient_advantage_vs_spy,insufficient_advantage_vs_equal_weight",True,walk_forward,-999.0,alpaca,0.0,0.0,2025-03-18T04:00:00+00:00,2025-12-18T05:00:00+00:00,2025-12-19T05:00:00+00:00,2026-04-21T04:00:00+00:00,192.0,12.0,5.0,6884.76875,0.0688476875,0.013009913875000167,0.017110120120408023,0.011219212547725066,0.017081409411123686,1.0017821149047474,0.9905629023570224,0.4,58.2,0.585521522475,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2026-04-21T04:00:00+00:00,275.0,30.0,14.0,7468.857290909091,0.07468857290909091,0.00833044122500004,0.007631062070702077,0.01860966524578689,0.01683236073598752,0.4600602064747345,0.4414505412289476,0.2857142857142857,37.5,1.480865596475,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2025-12-18T05:00:00+00:00,192.0,1.0,0.0,111316.08655571798,1.1131608655571799,0.20608108108108114,0.27881188213013264,0.13695570945681723,0.1937510518627136,1.3659289215171901,1.228973212060373,0.0,0.0,0.0,2025-12-19T05:00:00+00:00,2026-04-21T04:00:00+00:00,83.0,1.0,0.0,100091.52285389134,1.0009152285389133,0.038735084935049624,0.12230516509290257,0.09131166161057025,0.13836729785707702,0.9031771696286115,0.8118655080180412,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2026-04-21T04:00:00+00:00,275.0,1.0,0.0,114369.60059123649,1.1436960059123649,0.2602153604792128,0.23607246931370884,0.13695570945681723,0.17895969552905905,1.2735667758446383,1.136611066387821,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2025-12-18T05:00:00+00:00,192.0,1.0,0.0,122465.14699664987,1.2246514699664988,0.3719814192323492,0.51450095509932,0.17314533471090465,0.261147544439679,1.719775784349743,1.5466304496388383,0.0,0.0,0.0,2025-12-19T05:00:00+00:00,2026-04-21T04:00:00+00:00,83.0,1.0,0.0,98907.11460794913,0.9890711460794913,0.062072203246018365,0.20062519983810456,0.12877870675523406,0.19418758418903143,1.0388830799057645,0.9101043731505304,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2026-04-21T04:00:00+00:00,275.0,1.0,0.0,126985.56899030968,1.2698556899030968,0.4841231021137318,0.43591523839376634,0.17314533471090465,0.24590647177654762,1.5941120101606905,1.4209666754497858,0.0,0.0,0.0,-0.8118655080180412,-0.038735084935049624,0.09131166161057025,-0.9101043731505304,-0.062072203246018365,0.12877870675523406,2,False
trend_trailing_stop,fail,False,"too_few_closed_trades,insufficient_advantage_vs_spy,insufficient_advantage_vs_equal_weight",True,walk_forward,-999.0,alpaca,0.0,0.0,2025-03-18T04:00:00+00:00,2025-12-18T05:00:00+00:00,2025-12-19T05:00:00+00:00,2026-04-21T04:00:00+00:00,192.0,19.0,9.0,6096.697630208334,0.06096697630208334,0.010878160175000318,0.014301792798727897,0.010817942629297028,0.015797234888222787,0.9068400080862105,0.8960220654569134,0.4444444444444444,34.888888888888886,0.9472976521250001,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2026-04-21T04:00:00+00:00,275.0,41.0,19.0,6764.555490909091,0.06764555490909091,0.0024792468750005625,0.002271656348215245,0.016853639867424053,0.015673869949424404,0.15260380966782808,0.13575016980040402,0.3157894736842105,25.68421052631579,2.0173772867250004,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2025-12-18T05:00:00+00:00,192.0,1.0,0.0,111316.08655571798,1.1131608655571799,0.20608108108108114,0.27881188213013264,0.13695570945681723,0.1937510518627136,1.3659289215171901,1.228973212060373,0.0,0.0,0.0,2025-12-19T05:00:00+00:00,2026-04-21T04:00:00+00:00,83.0,1.0,0.0,100091.52285389134,1.0009152285389133,0.038735084935049624,0.12230516509290257,0.09131166161057025,0.13836729785707702,0.9031771696286115,0.8118655080180412,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2026-04-21T04:00:00+00:00,275.0,1.0,0.0,114369.60059123649,1.1436960059123649,0.2602153604792128,0.23607246931370884,0.13695570945681723,0.17895969552905905,1.2735667758446383,1.136611066387821,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2025-12-18T05:00:00+00:00,192.0,1.0,0.0,122465.14699664987,1.2246514699664988,0.3719814192323492,0.51450095509932,0.17314533471090465,0.261147544439679,1.719775784349743,1.5466304496388383,0.0,0.0,0.0,2025-12-19T05:00:00+00:00,2026-04-21T04:00:00+00:00,83.0,1.0,0.0,98907.11460794913,0.9890711460794913,0.062072203246018365,0.20062519983810456,0.12877870675523406,0.19418758418903143,1.0388830799057645,0.9101043731505304,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2026-04-21T04:00:00+00:00,275.0,1.0,0.0,126985.56899030968,1.2698556899030968,0.4841231021137318,0.43591523839376634,0.17314533471090465,0.24590647177654762,1.5941120101606905,1.4209666754497858,0.0,0.0,0.0,-0.8118655080180412,-0.038735084935049624,0.09131166161057025,-0.9101043731505304,-0.062072203246018365,0.12877870675523406,3,False
breakout,fail,False,too_few_closed_trades,True,walk_forward,-999.0,alpaca,0.03335685936276844,0.3354228790796761,2025-03-18T04:00:00+00:00,2025-12-18T05:00:00+00:00,2025-12-19T05:00:00+00:00,2026-04-21T04:00:00+00:00,192.0,13.0,5.0,8536.736875,0.08536736875,0.0001567869499998764,0.0002057879129544471,0.01464542833892235,0.016236835495680325,0.020797270933774203,0.006151842594851853,0.4,72.6,0.6389980352,83.0,3.0,0.0,1209.4853012048193,0.012094853012048193,0.002043719650000053,0.00621794796731634,0.0004901981779629194,0.0025200394242227767,2.461051456304233,2.46056125812627,0.0,0.0,0.14873503035,2025-03-18T04:00:00+00:00,2026-04-21T04:00:00+00:00,275.0,21.0,9.0,9042.734981818181,0.0904273498181818,-0.0003569320000004206,-0.00032708438815409746,0.015984448523997496,0.01621587483351282,-0.012060717510797576,-0.028045166034795073,0.2222222222222222,75.55555555555556,1.0292393105499997,2.0,-0.0010713842749999203,-0.004271782395141921,0.00158209920000002,0.0035154208614911766,-0.6084172245517554,-0.6099993237517554,0.0,0.0,0.0,0.07405555927499999,2025-03-18T04:00:00+00:00,2025-12-18T05:00:00+00:00,192.0,1.0,0.0,111316.08655571798,1.1131608655571799,0.20608108108108114,0.27881188213013264,0.13695570945681723,0.1937510518627136,1.3659289215171901,1.228973212060373,0.0,0.0,0.0,2025-12-19T05:00:00+00:00,2026-04-21T04:00:00+00:00,83.0,1.0,0.0,100091.52285389134,1.0009152285389133,0.038735084935049624,0.12230516509290257,0.09131166161057025,0.13836729785707702,0.9031771696286115,0.8118655080180412,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2026-04-21T04:00:00+00:00,275.0,1.0,0.0,114369.60059123649,1.1436960059123649,0.2602153604792128,0.23607246931370884,0.13695570945681723,0.17895969552905905,1.2735667758446383,1.136611066387821,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2025-12-18T05:00:00+00:00,192.0,1.0,0.0,122465.14699664987,1.2246514699664988,0.3719814192323492,0.51450095509932,0.17314533471090465,0.261147544439679,1.719775784349743,1.5466304496388383,0.0,0.0,0.0,2025-12-19T05:00:00+00:00,2026-04-21T04:00:00+00:00,83.0,1.0,0.0,98907.11460794913,0.9890711460794913,0.062072203246018365,0.20062519983810456,0.12877870675523406,0.19418758418903143,1.0388830799057645,0.9101043731505304,0.0,0.0,0.0,2025-03-18T04:00:00+00:00,2026-04-21T04:00:00+00:00,275.0,1.0,0.0,126985.56899030968,1.2698556899030968,0.4841231021137318,0.43591523839376634,0.17314533471090465,0.24590647177654762,1.5941120101606905,1.4209666754497858,0.0,0.0,0.0,1.6486957501082287,-0.03669136528504957,0.09082146343260733,1.5504568849757394,-0.06002848359601831,0.12828850857727114,4,False
